date,opening_price,closing_price,min_price,max_price,average_price,units_traded,volume_1day,volume_7day,buy_price,sell_price,requestTime
1520527824633,835000,822000,815000,865000,840139.6983,43965.5632407326196211,43965.5632407326196211,237599.511443329703917407,820000,822000,1520527823
1520527830666,837000,822000,815000,865000,840142.1082,43957.4655683768504211,43957.4655683768504211,237599.511443329703917407,821000,822000,1520527829
1520527836626,834000,820000,815000,865000,840151.6537,43950.7245683768504211,43950.7245683768504211,237599.511443329703917407,820000,822000,1520527835
1520527842599,838000,820000,815000,865000,840151.6803,43946.7303938576196211,43946.7303938576196211,237599.511443329703917407,820000,822000,1520527841
1520527848729,843000,820000,815000,865000,840152.1142,43941.2607938576196211,43941.2607938576196211,237599.511443329703917407,820000,822000,1520527847
1520527854816,840000,822000,815000,865000,840145.8748,43934.5208938576196211,43934.5208938576196211,237599.511443329703917407,820000,821000,1520527854
1520527860784,841000,820000,815000,865000,840125.8744,44005.7546938576196211,44005.7546938576196211,237599.511443329703917407,820000,821000,1520527859
1520527866696,843000,821000,815000,865000,840119.4166,44006.4755938576196211,44006.4755938576196211,237599.511443329703917407,820000,821000,1520527865
1520527872589,848000,820000,815000,865000,840113.2098,44001.3920938576196211,44001.3920938576196211,237599.511443329703917407,820000,821000,1520527871
1520527878744,842000,819000,815000,865000,840085.1351,44020.2562014047894321,44020.2562014047894321,237599.511443329703917407,819000,821000,1520527877
1520527884814,841000,820000,815000,865000,840083.3665,44019.3462014047894321,44019.3462014047894321,237599.511443329703917407,819000,820000,1520527884
1520527890865,847000,819000,815000,865000,840076.9506,44026.0487014047894321,44026.0487014047894321,237599.511443329703917407,819000,821000,1520527889
1520527896841,844000,820000,815000,865000,840064.1291,44044.4400014047894321,44044.4400014047894321,237599.511443329703917407,820000,822000,1520527896
1520527902816,844000,818000,815000,865000,840061.4621,44047.3000014047894321,44047.3000014047894321,237599.511443329703917407,819000,822000,1520527901
1520527909005,845000,822000,815000,865000,840054.4631,44063.5279014047894321,44063.5279014047894321,237599.511443329703917407,818000,819000,1520527907
1520527915208,845000,819000,815000,865000,840049.3008,44058.3969014047894321,44058.3969014047894321,237599.511443329703917407,818000,822000,1520527914
1520527921134,844000,818000,815000,865000,840047.1953,44064.0333014047894321,44064.0333014047894321,237599.511443329703917407,819000,822000,1520527920
1520527927260,847000,819000,815000,865000,840044.5786,44065.5863014047894321,44065.5863014047894321,237599.511443329703917407,818000,822000,1520527926
1520527933159,847000,818000,815000,865000,840040.2002,44086.9863014047894321,44086.9863014047894321,237599.511443329703917407,819000,822000,1520527932
1520527939459,844000,819000,815000,865000,840037.9757,44091.7226014047894321,44091.7226014047894321,237599.511443329703917407,818000,822000,1520527938
1520527945366,844000,819000,815000,865000,840037.9757,44091.7226014047894321,44091.7226014047894321,237599.511443329703917407,818000,822000,1520527944
1520527951489,844000,819000,815000,865000,840037.0312,44078.4248014047894321,44078.4248014047894321,237599.511443329703917407,819000,822000,1520527950
1520527957534,846000,819000,815000,865000,840035.5653,44064.5630014047894321,44064.5630014047894321,237599.511443329703917407,819000,821000,1520527956
1520527963634,842000,819000,815000,865000,840028.6657,44059.1270014047894321,44059.1270014047894321,237599.511443329703917407,818000,821000,1520527962
1520527969684,844000,818000,815000,865000,840022.4607,44067.6675014047894321,44067.6675014047894321,237599.511443329703917407,818000,820000,1520527968
1520527975743,842000,818000,815000,865000,840021.9881,44045.4892014047894321,44045.4892014047894321,237599.511443329703917407,820000,821000,1520527974
1520527981837,842000,819000,815000,865000,840020.0915,44025.9043014047894321,44025.9043014047894321,237599.511443329703917407,820000,821000,1520527980
1520527988202,843000,820000,815000,865000,840017.0301,44021.5521014047894321,44021.5521014047894321,237599.511443329703917407,819000,820000,1520527987
1520527994094,840000,818000,815000,865000,840011.9389,43998.2714014047894321,43998.2714014047894321,237599.511443329703917407,818000,820000,1520527993
1520527999993,844000,820000,815000,865000,840011.0249,43995.6211014047894321,43995.6211014047894321,237599.511443329703917407,818000,820000,1520527999
1520528006014,839000,820000,815000,865000,840009.3562,43984.2801014047894321,43984.2801014047894321,237599.511443329703917407,818000,820000,1520528005
1520528012185,839000,819000,815000,865000,840001.1546,43990.8488014047894321,43990.8488014047894321,237599.511443329703917407,817000,820000,1520528011
1520528018195,839000,821000,815000,865000,839998.5664,43992.7482014047894321,43992.7482014047894321,237599.511443329703917407,820000,821000,1520528017
1520528024127,840000,821000,815000,865000,839996.2969,43995.1679014047894321,43995.1679014047894321,237599.511443329703917407,820000,821000,1520528023
1520528030040,835000,817000,815000,865000,839983.0805,43969.9588014047894321,43969.9588014047894321,237599.511443329703917407,817000,820000,1520528029
1520528036237,835000,821000,815000,865000,839981.6481,43977.3147014047894321,43977.3147014047894321,237599.511443329703917407,817000,821000,1520528035
1520528042200,839000,821000,815000,865000,839983.7829,43923.4771014047894321,43923.4771014047894321,237599.511443329703917407,818000,821000,1520528041
1520528048261,838000,821000,815000,865000,839982.4247,43921.1520014047894321,43921.1520014047894321,237599.511443329703917407,818000,820000,1520528047
1520528054194,840000,820000,815000,865000,839981.7790,43905.3899014047894321,43905.3899014047894321,237599.511443329703917407,818000,820000,1520528053
1520528060373,839000,820000,815000,865000,839980.0558,43894.7655014047894321,43894.7655014047894321,237599.511443329703917407,818000,820000,1520528059
1520528066283,840000,820000,815000,865000,839979.7734,43883.8395014047894321,43883.8395014047894321,237599.511443329703917407,818000,820000,1520528065
1520528072513,840000,821000,815000,865000,839977.0968,43881.1822014047894321,43881.1822014047894321,237599.511443329703917407,818000,821000,1520528071
1520528078552,842000,820000,815000,865000,839974.2546,43877.0696014047894321,43877.0696014047894321,237599.511443329703917407,818000,820000,1520528077
1520528084446,841000,820000,815000,865000,839973.9311,43874.5956014047894321,43874.5956014047894321,237599.511443329703917407,818000,820000,1520528083
1520528090361,841000,820000,815000,865000,839973.1337,43878.5345014047894321,43878.5345014047894321,237599.511443329703917407,818000,820000,1520528089
1520528096328,842000,819000,815000,865000,839972.0925,43876.6348014047894321,43876.6348014047894321,237599.511443329703917407,818000,819000,1520528095
1520528102556,845000,819000,815000,865000,839969.4126,43874.6435014047894321,43874.6435014047894321,237599.511443329703917407,818000,819000,1520528101
1520528108727,840000,818000,815000,865000,839965.2570,43858.1553014047894321,43858.1553014047894321,237599.511443329703917407,817000,819000,1520528107
